,title,year,journal
415,"Design Science in Decision Support Systems Research - An Assessment using the Hevner, March, Park, and Ram Guidelines",2012,Journal of the Association for Information Systems
417,Achieving the Optimal Balance Between Investment in Quality and Investment in Self-Promotion for Information Products,2001,Journal of Management Information Systems
418,Just Right Outsourcing - Understanding and Managing Risk,2005,Journal of Management Information Systems
420,Disaggregating the Differential Impact of Healthcare IT in Complex Care Delivery - Insights from Field Research in Chronic Care,2021,Journal of the Association for Information Systems
421,Proximity and Information Technology Outsourcing - How Local Are IT Services Markets?,2007,Journal of Management Information Systems
424,Sociotechnical Envelopment of Artificial Intelligence - An Approach to Organizational Deployment of Inscrutable Artificial Intelligence Systems,2021,Journal of the Association for Information Systems
430,Knowledge and digital information,2003,The Journal of Strategic Information Systems
431,Integrating Biosignals into Information Systems: A NeuroIS Tool for Improving Emotion Regulation,2013,Journal of Management Information Systems
435,What Do You Know? Rational Expectations in Information Technology Adoption and Investment,2003,Journal of Management Information Systems
436,"Should We Wait? Network Externalities, Compatibility, and Electronic Billing Adoption",2001,Journal of Management Information Systems
439,A multi-level investigation of information technology outsourcing,2012,The Journal of Strategic Information Systems
445,"Generally Speaking, Context Matters - Making the Case for a Change from Universal to Particular ISP Research",2019,Journal of the Association for Information Systems
448,A Design Theory for Visual Inquiry Tools,2020,Journal of the Association for Information Systems
455,Explaining Trust in IT-Mediated Elections - A Case Study of E-Voting in Brazil,2013,Journal of the Association for Information Systems
456,Social Mechanisms for Causal Explanation in Social Theory Based IS Research,2013,Journal of the Association for Information Systems
514,Using and validating the strategic alignment model,2004,The Journal of Strategic Information Systems
519,Establishing Trust in Electronic Commerce Through Online Word of Mouth - An Examination Across Genders,2008,Journal of Management Information Systems
522,An Empirical Investigation of the Value of Integrating Enterprise Information Systems: The Case of Medical Imaging Informatics,2009,Journal of Management Information Systems
525,Making e-Government systems workable: Exploring the evolution of frames,2008,The Journal of Strategic Information Systems
530,Contingency Pricing for Information Goods and Services Under Industrywide Performance Standard,2003,Journal of Management Information Systems
533,Choice of Transaction Channels - The Effects of Product Characteristics on Market Evolution,2005,Journal of Management Information Systems
539,Characterizing the Dynamics of Open User Experience Design - The Cases of Firefox and OpenOffice.org,2010,Journal of the Association for Information Systems
544,Enhanced Use of IT - A New Perspective on Post-Adoption,2014,Journal of the Association for Information Systems
546,The Legacy of the Technology Acceptance Model and a Proposal for a Paradigm Shift,2007,Journal of the Association for Information Systems
553,Understanding Contingencies Associated with the Early Adoption of Customer-Facing Web Portals,2012,Journal of Management Information Systems
559,Factors in the Global Assimilation of Collaborative Information Technologies - An Exploratory Investigation in Five Regions,2008,Journal of Management Information Systems
560,Using Visual Representations of Data to Enhance Sensemaking in Data Exploration Tasks,2009,Journal of the Association for Information Systems
561,Conceptualizing the Dynamic Strategic Alignment Competency,2011,Journal of the Association for Information Systems
563,Design and Ownership of Two-Sided Networks - Implications for Internet Platforms,2008,Journal of Management Information Systems
572,Are We Wielding this Hammer Correctly? A Reflective Review of the Application of Cluster Analysis in Information Systems Research,2011,Journal of the Association for Information Systems
575,Does it Pay to Have CIOs on the Board? Creating Value by Appointing C-Level IT Executives to the Board of Directors,2022,Journal of the Association for Information Systems
576,Estimating Time Required to Reach Bid Levels in Online Auctions,2009,Journal of Management Information Systems
578,"Channel Capabilities, Product Characteristics, and the Impacts of Mobile Channel Introduction",2013,Journal of Management Information Systems
585,R&D Versus Acquisitions - Role of Diversification in the Choice of Innovation Strategy by Information Technology Firms,2011,Journal of Management Information Systems
587,Tuning Data Mining Methods for Cost-Sensitive Regression: A Study in Loan Charge-Off Forecasting,2008,Journal of Management Information Systems
597,Auctioning Vertically Integrated Online Services: Computational Approaches for Real-Time Allocation,2008,Journal of Management Information Systems
606,Paradoxical effects of institutionalisation on the strategic awareness of technology in organisations,2010,The Journal of Strategic Information Systems
607,Game of Platforms - Strategic Expansion into Rival (Online) Territory,2019,Journal of the Association for Information Systems
610,Modeling the information completeness of object tracking systems,2011,The Journal of Strategic Information Systems
611,Prioritizing a Portfolio of Information Technology Investment Projects,2004,Journal of Management Information Systems
612,Special Issue - Information Systems in Services,2010,Journal of Management Information Systems
613,An Interdisciplinary Perspective on IT Services Management and Service Science,2010,Journal of Management Information Systems
616,"Information Technology, Production Process Outsourcing, and Manufacturing Plant Performance",2006,Journal of Management Information Systems
617,Asynchronous Collaboration Around Multimedia Applied to On-Demand Education,2002,Journal of Management Information Systems
618,The Effects of Decision Guidance and Problem Modeling on Group Decision-Making,2002,Journal of Management Information Systems
622,An Integrative Contingency Model of Software Project Risk Management,2001,Journal of Management Information Systems
624,"Don't Even Think About It! The Effects of Antineutralization, Informational, and Normative Communication on Information Security Compliance",2018,Journal of the Association for Information Systems
629,"Envisioning E-HRM and strategic HR: Taking seriously identity, innovative practice, and service",2013,The Journal of Strategic Information Systems
641,The LEO principle: perspectives on 50 years of business computing,2003,The Journal of Strategic Information Systems
659,Design Science Research Contributions - Finding a Balance between Artifact and Theory,2018,Journal of the Association for Information Systems
675,Information Technology Competence of Business Managers - A Definition and Research Model,2001,Journal of Management Information Systems
676,A Systematic Mapping of Factors Affecting Accuracy of Software Development Effort Estimation,2014,Communications of the Association for Information Systems
687,Seeking strategic advantage in the post-net era: viewing ERP systems from the resource-based perspective,2004,The Journal of Strategic Information Systems
688,Expanding the Frontiers of Information Systems Research - Introduction to the Special Issue,2013,Journal of the Association for Information Systems
689,The Customer-Centered B2C Literature through the Lens of Activity Theory - A Review and Research Agenda,2006,Communications of the Association for Information Systems
692,Organizational Knowledge Management - A Contingency Perspective,2001,Journal of Management Information Systems
693,Governance in the Blockchain Economy - A Framework and Research Agenda,2018,Journal of the Association for Information Systems
699,Trust and risk in e-government adoption,2008,The Journal of Strategic Information Systems
700,Digitizing Government Interactions with Constituents - An Historical Review of E-Government Research in Information Systems,2012,Journal of the Association for Information Systems
701,"Multilevel Research in Information Systems - Concepts, Strategies, Problems, and Pitfalls",2014,Journal of the Association for Information Systems
704,"Trustworthiness in electronic commerce: the role of privacy, security, and site attributes",2002,The Journal of Strategic Information Systems
707,"Firm orientation, community of practice, and Internet-enabled interfirm communication: Evidence from Chinese firms",2012,The Journal of Strategic Information Systems
712,Critical Success Factors for Adoption of Electronic Health Record Systems: Literature Review and Prescriptive Analysis,2014,Information Systems Management
713,"Rapid Information Technology Change, Coping Mechanisms, and the Emerging Technologies Group",2001,Journal of Management Information Systems
714,Managing Information Technology Investment Risk - A Real Options Perspective,2002,Journal of Management Information Systems
717,Should We Go Our Own Way? Backsourcing Flexibility in IT Services Contracts,2010,Journal of Management Information Systems
718,Option-Based Risk Management - A Field Study of Sequential Information Technology Investment Decisions,2007,Journal of Management Information Systems
721,On the Valuation of Multistage Information Technology Investments Embedding Nested Real Options,2006,Journal of Management Information Systems
726,"Quo vadis, TAM?",2007,Journal of the Association for Information Systems
727,Special Issue - Trust in Online Environments,2008,Journal of Management Information Systems
729,Trust in and Adoption of Online Recommendation Agents,2005,Journal of the Association for Information Systems
732,Understanding user behavior with new mobile applications,2007,The Journal of Strategic Information Systems
735,Special Issue Editorial - Artificial Intelligence in Organizations - Implications for Information Systems Research,2021,Journal of the Association for Information Systems
736,Negotiation in Technology Landscapes - An Actor-Issue Analysis,2005,Journal of Management Information Systems
737,Information technology as a change actant in sustainability innovation: Insights from Uppsala,2011,The Journal of Strategic Information Systems
742,Effect Mechanisms of Perceptual Congruence Between Information Systems Professionals and Users on Satisfaction with Service,2013,Journal of Management Information Systems
743,IT feature use over time and its impact on individual task performance,2015,Journal of the Association for Information Systems
748,Service Quality in Software-as-a-Service: Developing the SaaS-Qual Measure and Examining Its Role in Usage Continuance,2011,Journal of Management Information Systems
749,Differential Effects of Provider Recommendations and Consumer Reviews in E-Commerce Transactions - An Experimental Study,2012,Journal of Management Information Systems
763,Beyond the Hype of Frictionless Markets - Evidence of Heterogeneity in Price Rigidity on the Internet,2005,Journal of Management Information Systems
765,A Review of Information Systems Research on Online Social Networks,2014,Communications of the Association for Information Systems
770,Disregarding History: Contemporary IS Contexts and Participatory Design,2014,Communications of the Association for Information Systems
772,Challenging Dominant Frames in Policies for IS Innovation in Healthcare through Rhetorical Strategies,2017,Journal of the Association for Information Systems
776,The Greening of IT: Paradox or promise?,2011,The Journal of Strategic Information Systems
778,Strategizing information systems-enabled organizational transformation: A transdisciplinary review and new directions,2012,The Journal of Strategic Information Systems
784,Deconstructing Information Sharing,2019,Journal of the Association for Information Systems
785,The diffusion of information systems development methods,2003,The Journal of Strategic Information Systems
787,Performance Outcomes of Test-Driven Development - An Experimental Investigation,2020,Journal of the Association for Information Systems
792,Effects of information technology failures on the market value of firms,2009,The Journal of Strategic Information Systems
794,Information Goods and Vertical Differentiation,2001,Journal of Management Information Systems
796,"Computing as Utility - Managing Availability, Commitment, and Pricing Through Contingent Bid Auctions",2004,Journal of Management Information Systems
798,Types of Information Technology Capabilities and Their Role in Competitive Advantage - An Empirical Study,2005,Journal of Management Information Systems
800,Consumer Search and Retailer Strategies in the Presence of Online Music Sharing,2006,Journal of Management Information Systems
806,Individual Trust in Online Firms - Scale Development and Initial Test,2002,Journal of Management Information Systems
820,Toward Virtual Community Knowledge Evolution,2002,Journal of Management Information Systems
821,Attention Issues in Spatial Information Systems - Directing Mobile Users' Visual Attention Using Augmented Reality,2007,Journal of Management Information Systems
830,Meta-Analysis of the Unified Theory of Acceptance and Use of Technology (UTAUT): Challenging its Validity and Charting a Research Agenda in the Red Ocean,2022,Journal of the Association for Information Systems
831,Sustainability of a Virtual Community - Integrating Individual and Structural Dynamics,2015,Journal of the Association for Information Systems
834,Seller Strategies for Differentiation in Highly Competitive Online Auction Markets,2011,Journal of Management Information Systems
839,From means to ends: The transformation of ERP in a manufacturing company,2005,The Journal of Strategic Information Systems
842,Organizational Climate and Perceived Manager Effectiveness - Influencing Perceived Usefulness of Knowledge Sharing Mechanisms,2013,Journal of the Association for Information Systems
843,Using Enterprise Architecture Standards in Managing Information Technology,2006,Journal of Management Information Systems
850,Does Competition Promote Trust and Trustworthiness in Online Trading? An Experimental Study,2008,Journal of Management Information Systems
857,Strategic alternatives in telecare design - Developing a value-configuration-based alignment framework,2011,The Journal of Strategic Information Systems
859,Managing stakeholders around inter-organizational systems: A diagnostic approach,2008,The Journal of Strategic Information Systems
865,Integrative framework for assessing firms’ potential to undertake Green IT initiatives via virtualization – A theoretical perspective,2011,The Journal of Strategic Information Systems
869,A Meta-Theory for Understanding Information Systems Within Sociotechnical Systems,2009,Journal of Management Information Systems
874,Team Collaboration in Virtual Worlds - Editorial to the Special Issue,2012,Journal of the Association for Information Systems
875,Team Collaboration in Virtual Worlds - Introduction to the Special Issue,2012,Journal of the Association for Information Systems
878,Analysis of Competing Data Structures - Does Ontological Clarity Produce Better End User Query Performance,2006,Journal of the Association for Information Systems
886,Information Systems Success in the Context of Different Corporate Cultural Types - An Empirical Investigation,2006,Journal of Management Information Systems
888,Engineering e-collaboration processes to obtain innovative end-user feedback on advanced web-based information systems,2009,Journal of the Association for Information Systems
898,Facilitator-in-a-Box - Process Support Applications to Help Practitioners Realize the Potential of Collaboration Technology,2013,Journal of Management Information Systems
899,Special Section: Creating Value with Information,2012,Journal of Management Information Systems
900,Special Issue: Multiple Dimensions of Value in Information Systems,2013,Journal of Management Information Systems
901,Special Issue: Information Systems Design-- Theory and Methodology,2004,Journal of Management Information Systems
902,Special Issue - Crossing Boundaries in Information Systems Research,2006,Journal of Management Information Systems
903,"Special Section - Global Perspectives on Information, Communication, and E-Commerce",2007,Journal of Management Information Systems
904,Special Section - Online Coordination and Interaction,2008,Journal of Management Information Systems
905,Special Section - Social Aspects of Sociotechnical Systems,2010,Journal of Management Information Systems
906,Special Section - Applied Science Research in Information Systems - The Last Research Mile,2011,Journal of Management Information Systems
907,Bounded Ideation Theory,2010,Journal of Management Information Systems
908,The Yield Shift Theory of Satisfaction and its Application to the IS/IT Domain,2008,Journal of the Association for Information Systems
909,Special Section: Context-Driven Information Access and Deployment,2005,Journal of Management Information Systems
910,Introduction to JAIS Special Issue on Collaboration Engineering,2009,Journal of the Association for Information Systems
911,Collaboration Engineering with ThinkLets to Pursue Sustained Success with Group Support Systems,2003,Journal of Management Information Systems
912,Special Issue - Decision-Making and a Hierarchy of Understanding,2002,Journal of Management Information Systems
913,Special Issue - Information Systems Success,2003,Journal of Management Information Systems
916,Special Issue Editorial - Accumulation and Evolution of Design Knowledge in Design Science Research - A Journey Through Time and Space,2020,Journal of the Association for Information Systems
917,Supporting Agile Organizations with a Decision Guidance Query Language,2012,Journal of Management Information Systems
926,Testing and Extending Theory in Strategic Information Systems Planning Through Literature Analysis,2004,Information Resources Management Journal
927,Predicting Collaboration Technology Use - Integrating Technology Adoption and Collaboration Research,2010,Journal of Management Information Systems
928,Impression Formation and Durability in Mediated Communication,2016,Journal of the Association for Information Systems
929,Who's Afraid of the Virtual World? Anxiety and Computer-Mediated Communication,2004,Journal of the Association for Information Systems
930,Framing the Frameworks - A Review of IT Governance Research,2005,Communications of the Association for Information Systems
934,"Interpersonal Traits, Complementarity, and Trust in Virtual Collaboration",2004,Journal of Management Information Systems
939,More Enduring Questions in Cognitive IS Research,2012,Journal of the Association for Information Systems
941,An Empirical Investigation of User Requirements Elicitation - Comparing the Effectiveness of Prompting Techniques,2001,Journal of Management Information Systems
943,Individual Adaptation to IT-Induced Change: The Role of Social Networks,2008,Journal of Management Information Systems
948,Editors' Introduction,2009,Journal of the Association for Information Systems
953,Where’s the competitive advantage in strategic information systems research? Making the case for boundary-spanning research based on the German business and information systems engineering tradition,2012,The Journal of Strategic Information Systems
954,Business and Information Systems Engineering - A Complementary Approach to Information Systems - What We Can Learn from the Past and May Conclude from Present Reflection on the Future,2012,Journal of the Association for Information Systems
955,Maximizing the positive influence of IT for improving organizational performance,2011,The Journal of Strategic Information Systems
963,A Representation Theory Perspective on the Repurposing of Personal Technologies for Work-Related Tasks,2021,Journal of the Association for Information Systems
976,The effects of decomposition quality and multiple forms of information on novices' understanding of a domain from a conceptual model,2008,Journal of the Association for Information Systems
980,Guidelines for empirical evaluations of conceptual modeling grammars,2009,Journal of the Association for Information Systems
986,Compliance with institutional imperatives on environmental sustainability: Building theory on the role of Green IS,2011,The Journal of Strategic Information Systems
988,Designing a core IT artefact for Knowledge Management Systems using participatory action research in a government and a non-government organisation,2008,The Journal of Strategic Information Systems
995,"Retail Bank Services Strategy - A Model of Traditional, Electronic, and Mixed Distribution Choices",2001,Journal of Management Information Systems
999,On the interpretative flexibility of hosted ERP systems,2005,The Journal of Strategic Information Systems
1007,LEO and the computer revolution,2003,The Journal of Strategic Information Systems
1010,Diagnosing and Managing Online Business-to-Consumer (B2C) Relationships: Toward an eCommerce B2C Relationship Stage Theory,2009,AIS Transactions on Human-Computer Interaction
1013,Interactions Between System Evaluation and Theory Testing - A Demonstration of the Power of a Multifaceted Approach to Information Systems Research,2006,Journal of Management Information Systems
1017,Evolution of Governance: Achieving Ambidexterity in IT Outsourcing,2013,Journal of Management Information Systems
1021,Time-Related Factors of Data Quality in Multichannel Information Systems,2003,Journal of Management Information Systems
1029,"""Follow the Sun"" Workflow in Global Software Development",2010,Journal of Management Information Systems
1031,A Capabilities-Based Theory of Technology Deployment in Diverse Teams - Leapfrogging the Pitfalls of Diversity and Leveraging Its Potential with Collaborative Technology,2004,Journal of the Association for Information Systems
1033,IT Service Value Creation in a Global Environment,2010,Journal of Global Information Technology Management
1037,IT Identity - A Measure and Empirical Investigation of its Utility to IS Research,2020,Journal of the Association for Information Systems
1044,Basic Classes in Conceptual Modeling - Theory and Practical Guidelines,2020,Journal of the Association for Information Systems
1045,Impact of Social Media on the Firm's Knowledge Exploration and Knowledge Exploitation - The Role of Business Analytics Talent,2021,Journal of the Association for Information Systems
1047,Design Science Research in Doctoral Projects - An Analysis of Australian Theses,2019,Journal of the Association for Information Systems
1050,"Information Technology Diffusion with Influentials, Imitators, and Opponents",2010,Journal of Management Information Systems
1054,Decision-Theoretic and Game-Theoretic Approaches to IT Security Investment,2008,Journal of Management Information Systems
1057,Advancing Qualitative IS Research Methodologies - Expanding Horizons and Seeking New Paths,2020,Journal of the Association for Information Systems
1064,The development and exercise of power by leaders of support units in implementing information technology-based services,2001,The Journal of Strategic Information Systems
1065,Inhibitors and Enablers as Dual Factor Concepts in Technology Usage,2004,Journal of the Association for Information Systems
1071,A Learning Model of Information Technology Outsourcing: Normative Implications,2009,Journal of Management Information Systems
1073,Mandates and technology acceptance: A tale of two enterprise technologies,2005,The Journal of Strategic Information Systems
1075,Factors Affecting Bloggers' Knowledge Sharing: An Investigation Across Gender,2011,Journal of Management Information Systems
1076,An Exploration into the Process of Requirements Elicitation - A Grounded Approach,2010,Journal of the Association for Information Systems
1082,IT Value - The Great Divide Between Qualitative and Quantitative and Individual and Organizational Measures,2000,Journal of Management Information Systems
1085,Theoretical Explanations for Firms' Information Privacy Behaviors,2005,Journal of the Association for Information Systems
1090,User engagement in e-government systems implementation: A comparative case study of two Singaporean e-government initiatives,2008,The Journal of Strategic Information Systems
1094,Acceptance of agile methodologies: A critical review and conceptual framework,2009,Decision Support Systems
1095,Modeling Citizen Satisfaction with Mandatory Adoption of an E-Government Technology,2010,Journal of the Association for Information Systems
1097,Cognitive absorption and trust for workplace collaboration in virtual worlds: An information processing decision making perspective,2012,Journal of the Association for Information Systems
1100,Literature derived reference models for the adoption of online shopping,2005,Information & Management
1106,Measuring the Performance of Information Systems - A Functional Scorecard,2005,Journal of Management Information Systems
1110,Blockchain for the IoT - Privacy-Preserving Protection of Sensor Data,2019,Journal of the Association for Information Systems
1113,Online Reverse Auctions and the Dynamics of Trust,2008,Journal of Management Information Systems
1114,Creating Value through Virtual Teams: A Current Literature Review,2014,Australasian Journal of Information Systems
1115,An Extensive Examination of Regression Models with a Binary Outcome Variable,2017,Journal of the Association for Information Systems
1120,The Shareholder-Wealth and Trading-Volume Effects of Information-Technology Infrastructure Investments,2002,Journal of Management Information Systems
1123,Infusing Ethical Considerations in Knowledge Management Scholarship - Toward a Research Agenda,2013,Journal of the Association for Information Systems
1124,Ethical Information Systems Development - A Baumanian Postmodernist Perspective,2009,Journal of the Association for Information Systems
1125,A Deontological Approach to Designing Ethical Collaboration,2009,Journal of the Association for Information Systems
1129,Examining a Model of Information Technology Acceptance by Individual Professionals - An Exploratory Study,2002,Journal of Management Information Systems
1138,Public IT Policies in Less Developed Countries: A Critical Assessment of the Literature and a Reference Framework,2003,Journal of Global Information Technology Management
1140,"Examining the Role of ""Free"" Product-Augmenting Online Services in Pricing and Customer Retention Strategies",2005,Journal of Management Information Systems
1143,Economic Implications of Variable Technology Standards for Movie Piracy in a Global Context,2003,Journal of Management Information Systems
1145,An Economic Model of Privacy: A Property Rights Approach to Regulatory Choices for Online Personalization,2007,Journal of Management Information Systems
1147,Mobile Health (mHealth) Channel Preference - An Integrated Perspective of Approach-Avoidance Beliefs and Regulatory Focus,2019,Journal of the Association for Information Systems
1148,An Analysis of the Evolving Intellectual Structure of Health Information Systems Research in the Information Systems Discipline,2019,Journal of the Association for Information Systems
1154,A Multi-Appeal Model of Persuasion for Online Petition Success - A Linguistic Cue-Based Approach,2019,Journal of the Association for Information Systems
1159,A Query-Driven Approach to the Design and Management of Flexible Database Systems,2003,Journal of Management Information Systems
1160,Design and Use of Preference Markets for Evaluation of Early Stage Technologies,2009,Journal of Management Information Systems
1164,Predicting Intention to Participate in Socially Responsible Collective Action in Social Networking Website Groups,2020,Journal of the Association for Information Systems
1181,Theory and Analysis of Company-Sponsored Value Co-Creation,2012,Journal of Management Information Systems
1187,How Big Data Analytics Affects Supply Chain Decision-Making - An Empirical Analysis,2021,Journal of the Association for Information Systems
1188,Antecedents and Effects of CIO Supply-Side and Demand-Side Leadership - A Staged Maturity Model,2010,Journal of Management Information Systems
1189,Organizations' Information Security Policy Compliance: Stick or Carrot Approach?,2012,Journal of Management Information Systems
1193,Emergency Response Information System Interoperability - Development of Chemical Incident Response Data Model,2008,Journal of the Association for Information Systems
1199,Moderated Online Communities and Quality of User-Generated Content,2011,Journal of Management Information Systems
1206,Entertainment Without Borders: The Impact of Digital Technologies on Government Cultural Policy,2010,Journal of Management Information Systems
1209,The Impact of Network Externalities on the Competition Between Open Source and Proprietary Software,2011,Journal of Management Information Systems
1213,An Information Diffusion-based recommendation framework for micro-blogging,2011,Journal of the Association for Information Systems
1214,An Empirical Analysis of the Business Value of Open Source Infrastructure Technologies,2010,Journal of the Association for Information Systems
1215,Sustainability of Free/Libre Open Source Projects - A Longitudinal Study,2010,Journal of the Association for Information Systems
1217,Effects of animation on attentional resources of online consumers,2017,Journal of the Association for Information Systems
1218,Is this review believable? A study of factors affecting the credibility of online consumer reviews from an ELM perspective,2012,Journal of the Association for Information Systems
1219,The impact of electronic word-of-mouth communication: A literature analysis and integrative model,2012,Decision Support Systems
1228,Person-Job Cognitive Style Fit for Software Developers - The Effect on Strain and Performance,2005,Journal of Management Information Systems
1234,Cognitive Conflict and Consensus Generation in Virtual Teams During Knowledge Capture - Comparative Effectiveness of Techniques,2011,Journal of Management Information Systems
1235,"Special Section: Competitive Strategy, Economics, and the Internet",2002,Journal of Management Information Systems
1236,Review of the Status of Cyberbullying and Cyberbullying Prevention,2014,Journal of Information Systems Education
1238,Building Community Citizenship Behaviors - The Relative Role of Attachment and Satisfaction,2015,Journal of the Association for Information Systems
1239,Solving the Interpretational-Confounding and Interpretational-Ambiguity Problems of Formative Construct Modeling in Behavioral Research - Proposing a Two-Stage Fixed-Weight Redundancy Approach,2018,Journal of the Association for Information Systems
1241,What can crowdsourcing do for decision support?,2014,Decision Support Systems
1243,Critical Factors for Assimilation of Object-Oriented Programming Languages,2002,Journal of Management Information Systems
1250,"The relationships among management accounting information, organizational learning and production performance",2004,The Journal of Strategic Information Systems
1252,"Loyalty, Ideology, and Identification - An Empirical Study of the Attitudes and Behaviors of Passive Users of Open Source Software",2015,Journal of the Association for Information Systems
