literature_review,title,abstract,references
0,"'Lots done, more to do' - the current state of agile systems development research",,"['10.1016/j.infsof.2008.01.006', '10.1057/palgrave.ejis.3000604', '10.2307/258554', '10.1109/mc.2004.231', '10.1007/978-1-4302-0810-5']"
0,How do technologists do “ICT for development”? A contextualised perspective on ICT4D in South Africa,,"['10.1080/02681102.2017.1356036', '10.1080/02681102.2016.1246406', '10.1080/02681102.2015.1011598', '10.1002/itdj.20108', '10.1002/sej.1300', '10.1002/sej.1279', '10.1016/j.infoandorg.2011.10.001', '10.1016/j.respol.2007.02.018', '10.1016/j.chb.2017.11.009', '10.1016/j.jsis.2019.01.002', '10.1016/0963-8687(92)90014-n', '10.1007/978-3-319-59111-7_2', '10.1111/isj.12343', '10.1111/isj.12114', '10.1046/j.1365-2575.2001.00095.x', '10.1111/1467-9280.00348', '10.1080/0960085x.2019.1708821', '10.1057/ejis.2009.34', '10.1080/00220388.2010.514328', '10.1057/jit.2015.19', '10.1080/146498805200034275', '10.25300/misq/2019/13990', '10.25300/misq/2015/39.3.09', '10.25300/misq/2016/40.2.06', '10.25300/misq/2016/40.2.12', '10.2307/249409', '10.1287/isre.2016.0648', '10.17705/1jais.00476', '10.17705/1jais.00413', '10.17705/1jais.00479', '10.2307/2026184', '10.1057/palgrave.jit.2000136', '10.4159/harvard.9780674061200', '10.4018/jiit.2010070101', '10.5465/ame.2001.5229453']"
0,Exploring the gender question in critical information systems,"This paper addresses ways in which theorizing gender may be important in forming an understanding of the topic of emancipation, which is central to the new critical information systems (IS) based on the thinking of Habermas. After briefly discussing some problems with current research on gender and IS the paper argues that appropriate feminist theory may be useful in augmenting our understanding of foundational issues such as emancipation. The development of feminist philosophy and epistemology is briefly introduced. Habermas’ ‘ideal speech situation’ is problematized in relation to feminist writing on male and female communication juxtaposed with recent research in computer-mediated communications. The paper continues by exploring the concept of emancipation through feminist epistemology and it closes with a preliminary consideration of how these concerns may be applied to critical IS.","['10.1016/s1471-7727(01)00006-9', '10.1007/978-0-387-35509-2_13', '10.1007/978-0-387-35505-4_26', '10.1007/bf01060044', '10.1108/09593849710166165', '10.1207/s15326926clp0504_03', '10.1057/palgrave.ejis.3000326', '10.1075/pbns.39', '10.1177/026839629801300409', '10.1017/cbo9780511895425', '10.1145/270858.270864', '10.1016/0959-8022(96)00004-5', '10.2307/3250981', '10.2307/249761', '10.2307/249720', '10.1007/978-0-387-35489-7_22', '10.1007/b102400', '10.1145/262793.262813', '10.1023/a:1011487221497']"
0,IS and its agenda,,"['10.1111/j.1365-2575.1996.tb00005.x', '10.1177/007327538202000301', '10.1057/jit.2012.4', '10.1057/9780230000520', '10.2307/25750707']"
0,Being an 'it' in IT - gendered identities in IT work,,"['10.4018/jthi.2005010101', '10.4135/9781446220030.n4', '10.1016/j.infoandorg.2005.10.001', '10.4135/9781446220030', '10.1017/cbo9780511488948', '10.1057/palgrave.ejis.3000326', '10.5465/amr.2000.3707697', '10.1057/9780230000520', '10.1007/978-1-4471-3875-4_8', '10.1111/1467-6486.00385', '10.1177/016224390002500104', '10.1080/09585190050177193', '10.1111/j.1468-005x.2004.00137.x']"
0,Containing COVID-19 through physical distancing - the impact of real-time crowding information,,"['10.1037/0096-3445.135.4.609', '10.1016/j.dss.2014.05.002', '10.1016/j.jbef.2017.12.004', '10.1207/s15327663jcp0901_3', '10.1016/j.jenvp.2015.10.003', '10.1509/jmkr.48.2.238', '10.1080/10864415.2018.1564552', '10.1080/0960085x.2020.1784046', '10.1080/0960085x.2020.1793698', '10.1080/0960085x.2020.1771968', '10.1080/0960085x.2020.1770632', '10.1080/0960085x.2020.1771222', '10.1098/rspb.2015.0814', '10.1287/mnsc.2017.2785', '10.1016/0010-0285(73)90033-9', '10.1016/j.jesp.2017.01.006', '10.1086/208520', '10.1093/jcr/ucx047', '10.2307/20650277', '10.25300/misq/2013/37.4.02', '10.1017/9781316481424.019', '10.1086/605591', '10.1086/593700', '10.1007/s10608-011-9353-3', '10.1287/isre.2019.0836', '10.1287/isre.2017.0769', '10.1287/isre.2013.0501', '10.1007/s10608-006-9058-1', '10.17705/1jais.00499', '10.17705/1jais.00181', '10.1080/07421222.2019.1599499', '10.1080/07421222.2003.11045775', '10.1080/07421222.2016.1243967', '10.1287/isre.1070.0157', '10.1086/261791', '10.1086/261849', '10.1037/a0018963', '10.1037/0022-3514.89.1.36', '10.1037/0022-3514.86.2.205', '10.1177/0146167210386238', '10.3399/bjgp19x703925', '10.1037/0033-295x.110.3.403', '10.1177/0146167218780735', '10.1016/j.jcps.2014.05.003']"
0,Heterogeneous Demand Effects of Recommendation Strategies in a Mobile Application: Evidence from Econometric Models and Machine-Learning Instruments,"In this paper, we examine the effectiveness of various recommendation strategies in the mobile channel and their impact on consumers’ utility and demand levels for individual products. We find significant differences in effectiveness among various recommendation strategies. Interestingly, recommendation strategies that directly embed social proofs for the recommended alternatives outperform other recommendations. In addition, recommendation strategies combining social proofs with higher levels of induced awareness due to the prescribed temporal diversity have an even stronger effect on the mobile channel. We also examine the heterogeneity of the demand effect across items, users, and contextual settings, further verifying empirically the aforementioned information and persuasion mechanisms and generating rich insights. We also facilitate the estimation of causal effects in the presence of endogeneity using machine-learning methods. Specifically, we develop novel econometric instruments that capture product differentiation (isolation) based on deeplearning models of user-generated reviews. Our empirical findings extend the current knowledge regarding the heterogeneous impact of recommender systems, reconcile contradictory prior results in the related literature, and have significant business implications.",
0,"The journal list and its use - motivation, perceptions, and reality",,"['10.2106/00004623-200312000-00028', '10.1136/bmj.314.7079.497']"
0,E-Mail Interruptions and Individual Performance: Is There a Silver Lining?,,
0,Information Technology and Government Corruption in Developing Countries: Evidence from Ghana Customs,"The literature on information technology (IT) and government corruption in developing countries indicates contradictory evidence about the realization of anti-corruption effects. So far, there is no theoretical explanation of why the anti-corruption potential of IT demonstrated in some countries is not realized in many other countries. Drawing evidence from a case study of information systems interventions at Ghana customs over 35 years, we investigate how and why IT’s anti-corruption potential may be curtailed in the context of developing countries’ governments and societies. We focus on IT-mediated petty corruption practices of street-level officers, which we consider to be socially embedded and institutionally conditioned phenomena. We find that conditions of possibility for the IT-mediated petty corruption practices are created during the implementation of information systems. The configuration of IT and organizational processes of a government agency are constrained by the broader government administration system and influenced by the vested interests of government officers, politicians, and businesses. Subsequently, the co-optation of IT for petty corruption practices is enabled by networks of relationships and institutions of patronage that extend across government, business, and society. We thus explain the often limited effects of IT on petty corruption as the inability of localized information systems implementations to change modes of government administration that are embedded in the enduring neopatrimonial institutions and politics of many developing countries.",
0,Effects of media formats on emotions and impulse buying intent,"One way of generating revenue from broadband media content rests upon the assumption that multi-media content may trigger a greater intent to buy products and services impulsively. An experiment was performed in order to explore the effects of media formats on the emotions and impulse buying intentions for music compact discs (CDs). Three distinct media formats of World Wide Web pages were set up: (1) the text of the lyrics, (2) still images from the song's music video and (3) the music video itself. Each had a varying degree of visual/ verbal intensity while simultaneously playing the soundtrack in all three conditions. The results of this study indicate that displaying the text of the lyrics had a greater effect on the impulse buying intent than showing still images of the music video. In addition, different media formats caused emotional responses that can explain the participant's impulse buying intent to buy the CD. Unexpectedly, the still images and video did not necessarily generate more buying intention than combinations of the text and music. Therefore, it is recommended that electronic commerce and marketing managers explore innovative ways of integrating visual and verbal media formats for eliciting an effective consumer response.","['10.1177/0146167296225002', '10.1207/s15327744joce100101', '10.1002/mar.4220120202', '10.1016/s0167-4870(98)00009-9', '10.1016/0148-2963(82)90016-9', '10.2466/pr0.1998.82.3c.1123', '10.1177/002224379603300101', '10.2307/2111699', '10.1007/bf00992553', '10.1093/acprof:oso/9780195066661.001.0001', '10.1300/j090v19n01_03', '10.1086/209170', '10.1086/208501', '10.1086/209105', '10.1086/209452', '10.1111/j.1559-1816.1998.tb01679.x', '10.1177/009365093020003001', '10.1007/978-1-349-13450-2', '10.1080/14792772143000003', '10.1016/s0022-4359(99)80092-x', '10.1037/0022-3514.51.6.1173', '10.1080/095939697342914', '10.1080/08838159409364266', '10.2466/pr0.82.3.1123-1133', '10.1177/107769900007700302', '10.1177/002224296202600212']"
0,The Effects of Tree-View Based Presentation Adaptation on Mobile Web Browsing,,
0,Beyond the Privacy Paradox - Objective Versus Relative Risk in Privacy Decision Making,,
0,Effects of Personalized Recommendations Versus Aggregate Ratings on Post-Consumption Preference Responses,"Online retailers use product ratings to signal quality and help consumers identify products for purchase. These ratings commonly take the form of either non-personalized, aggregate product ratings (i.e., the average rating a product received from a number of consumers such as “the average rating is 4.5/5 based on 100 reviews”), or personalized predicted preference ratings for a product (i.e., recommender-system-generated predictions for a consumer’s rating of a product such as “we think you’d rate this product 4.5/5”). Ratings in either format can provide decision aid to the consumer, but the two formats convey different types of product quality information and operate with different psychological mechanisms. Prior research has indicated that each recommendation type can significantly affect consumer’s post-experience preference ratings, constituting a judgmental bias, but has not compared the effects of these two common product-rating formats. Using a laboratory experiment, we show that aggregate ratings and personalized recommendations create similar biases on post-experience preference ratings when shown separately. Shown together, there is no cumulative increase in the effect. Instead, personalized recommendations tend to dominate. Our findings can help retailers determine how to use these different types of product ratings to most effectively serve their customers. Additionally, these results help to educate the consumer on how product-rating displays influence their stated preferences.",
0,Making Sense of Technology Trends in the Information Technology Landscape - A Design Science Approach,,
0,Impact of Information Feedback in Continuous Combinatorial Auctions - An Experimental Study of Economic Performance,,
0,Designing Real-Time Feedback for Bidders in Homogeneous-Item Continuous Combinatorial Auctions,,
0,The Information Systems Identity Crisis: Focusing on High-Visibility and High-Impact Research,,
0,Getting pragmatic,,"['10.1016/s0305-0483(99)00042-0', '10.1007/978-1-4615-1655-2_5', '10.4018/978-1-59140-471-2.ch009', '10.1057/ejis.2010.1', '10.1057/ejis.2008.45', '10.1057/ejis.2008.44', '10.1080/014492900118768', '10.1057/palgrave/ejis/3000428', '10.1057/palgrave.ejis.3000486', '10.1145/1125944.1125973', '10.1017/cbo9780511895425', '10.2307/25148642', '10.2307/25148625', '10.1145/331983.331989', '10.4018/978-1-60566-264-0.ch017', '10.1080/03637750701196383', '10.1287/isre.13.4.363.69', '10.1108/09593849810246156', '10.1145/240455.240479', '10.1016/s0377-2217(00)00077-1', '10.1007/s00766-004-0208-2']"
0,Embracing diversity through mixed methods research,,"['10.1016/s0305-0483(99)00042-0', '10.1111/j.1365-2575.2006.00206.x', '10.1057/ejis.2012.38', '10.1057/ejis.2010.56', '10.1057/ejis.2010.22', '10.1057/ejis.2008.44', '10.3102/0013189x017008010', '10.3102/0013189x033007014', '10.1057/palgrave.ejis.3000607', '10.2307/25148845', '10.2307/25148625', '10.25300/misq/2013/37.1.02', '10.17705/1jais.00234', '10.1287/isre.12.3.240.9709', '10.1057/palgrave.jit.2000055', '10.1080/13645570500402447', '10.1111/j.1468-4446.2012.01428.x']"
0,Insufficient theoretical contribution - a conclusive rationale for rejection?,,"['10.5465/amj.2007.28166119', '10.1002/1098-240x(200008)23:4<334::aid-nur9>3.0.co;2-g', '10.1111/j.1540-5414.2006.00136.x', '10.5465/amr.2009.0486', '10.1177/1476127007079957', '10.1057/ejis.2013.17', '10.1057/ejis.2013.6', '10.1057/ejis.2012.38', '10.1057/ejis.2011.29', '10.1057/ejis.1995.9', '10.1080/01411920600989412', '10.2307/25148742', '10.2307/20650302', '10.2307/25148625', '10.25300/misq/2013/37.2.01', '10.1109/tse.2014.2318734', '10.1177/1476127007077558', '10.17705/1jais.00129', '10.1177/1461444811422894', '10.2307/2393788', '10.2307/2393789', '10.1136/bmj.315.7119.1371', '10.5465/amj.2012.4002', '10.1504/jdr.2008.019897', '10.1007/s12599-010-0118-4', '10.1145/63238.63241']"
0,Going through changes,,"['10.1057/s41303-017-0067-9', '10.1057/ejis.2015.20', '10.1057/ejis.2015.8', '10.1057/ejis.2014.35', '10.1057/ejis.2013.6', '10.1057/ejis.2012.38', '10.1057/ejis.2010.22']"
0,Whither design science research?,,"['10.25300/misq', '10.1080/0960085x.2018.1458066', '10.1057/s41303-017-0067-9', '10.1057/ejis.2015.20', '10.1057/ejis.2014.35', '10.1057/ejis.2013.6', '10.1057/ejis.2012.38', '10.1057/ejis.2010.55', '10.1057/ejis.2010.57', '10.1057/ejis.2010.22', '10.1057/ejis.2008.44', '10.3102/0013189x033007014', '10.2307/25148625', '10.1177/0170840617708007', '10.1080/03637750701196383', '10.1177/1461444816661553']"
0,Stimulating academic discourse: a call for response,,"['10.1016/j.infsof.2015.03.010', '10.1016/j.infsof.2013.07.008', '10.1037/0033-3204.30.1.67', '10.1017/cbo9780511840005', '10.1080/0960085x.2018.1545883', '10.1080/0960085x.2018.1527189', '10.1080/0960085x.2018.1471789', '10.1080/0960085x.2018.1451811', '10.1057/ejis.2015.20', '10.1057/ejis.2013.35', '10.1057/ejis.2012.34', '10.2753/mis0742-1222240302', '10.2307/23043488', '10.1057/978-1-137-48736-0', '10.1371/journal.pone.0189311', '10.1037/0021-9010.73.2.199', '10.1075/pbns.41.06swa']"
0,Artificial intelligence as digital agency,,"['10.4018/jthi.2005070103', '10.1177/13684310222225432', '10.1017/cbo9781139173438', '10.1177/1461444816676645', '10.1016/j.infoandorg.2016.04.001', '10.1016/j.infoandorg.2014.05.002', '10.1016/j.futures.2017.03.006', '10.1177/0170840607081138', '10.1080/0960085x.2018.1429370', '10.1080/0960085x.2017.1387714', '10.1057/s41303-017-0067-9', '10.1057/ejis.2015.8', '10.1057/ejis.2014.35', '10.1057/ejis.2014.17', '10.1057/ejis.2012.38', '10.1057/ejis.2011.29', '10.1057/ejis.2010.40', '10.1057/ejis.2010.22', '10.1057/ejis.2010.3', '10.1057/ejis.2008.37', '10.1177/1463499606061731', '10.1080/014492900118768', '10.1057/palgrave.ejis.3000486', '10.1145/1125944.1125977', '10.1057/s41265-018-0053-2', '10.1057/s41265-016-0033-3', '10.1080/21670811.2014.976411', '10.2307/30036527', '10.2307/23043488', '10.2307/4132338', '10.2307/3250931', '10.1016/0959-8022(96)00004-5', '10.1016/s0959-8022(97)00008-8', '10.1287/orsc.1060.0237', '10.1287/orsc.11.4.404.14600', '10.1177/0170840617708007', '10.2307/3556620', '10.1145/3339399', '10.17705/1jais.00423', '10.4018/978-1-61520-692-6.ch011', '10.1108/09593849510098262', '10.1108/09593840210453115', '10.1177/0162243910377624', '10.1016/j.intcom.2004.05.002', '10.5465/19416520802211644']"
0,Information systems in the age of pandemics - COVID-19 and beyond,,"['10.3390/jcm9020575', '10.1080/0960085x.2020.1755207', '10.1080/0960085x.2020.1743051', '10.1080/0960085x.2020.1721947', '10.1080/0960085x.2019.1557853', '10.1057/ejis.2014.8', '10.1057/ejis.2012.45', '10.1016/j.ejor.2019.06.051', '10.2307/25148813', '10.1080/01972240290075101', '10.1007/s12630-020-01591-x', '10.1016/s0140-6736(20)30566-3', '10.1016/s0140-6736(20)30360-3', '10.1016/s0140-6736(20)30461-x', '10.1056/nejmc2001737']"
0,Action-oriented conceptual modelling,,"['10.1017/cbo9781139173438', '10.1145/45941.214328', '10.1287/inte.25.3.42', '10.1016/0378-7206(87)90068-1', '10.1145/344949.345004', '10.4018/978-1-878289-77-3.ch007', '10.1145/331983.331989', '10.1145/320434.320440', '10.1007/978-1-4615-0803-8_4', '10.1016/0167-6423(87)90035-9', '10.1109/32.677182', '10.1017/cbo9780511620539', '10.1145/572020.572041', '10.1207/s15327590ijhc0903_4', '10.1207/s15327051hci0301_2', '10.1075/nlp.1.02all', '10.1108/09593849810246156', '10.1023/a:1019998319595', '10.1016/s0377-2217(00)00077-1']"
0,Socio-instrumental usability - IT is all about social action,"Usability is an important concept that seems to receive less attention than it deserves outside of the core Human–Computer Interaction community. The reason for this apparent lack of interest may stem from an overly instrumental orientation towards usability that does not appeal to more socially oriented researchers. Three central criteria for usability, as reflected in the contemporary literature, are the effectiveness, efficiency and satisfaction with which users can achieve specified goals. These criteria are often expressed in terms of achieving goals, which, at least tacitly, seem to be restricted to goals related to an instrumental view on the use of IT. To broaden this view, the paper elaborates on how the concept of usability can be understood and used within a social action context. How social goals are related to the effectiveness, efficiency and satisfaction criteria is addressed specifically. It is argued that in order truly to understand usability, we must consider both instrumental and social goals since their combination constitute a fundamental part of the social action context in which systems are used. Both instrumental and social goals affect the way systems and use-situations are designed and conceived. Interpreting usability from this broad social action perspective may be a way to make the concept more accepted throughout the wide variety of areas dealing with the design of IT systems.","['10.1016/b978-0-08-052029-2.50007-3', '10.1515/9783110819014-013', '10.1007/978-0-387-35309-8_23', '10.1108/02635570010291766', '10.1016/s0268-4012(00)00048-7', '10.1016/s0019-8501(03)00017-8', '10.1017/cbo9781139173438', '10.1145/45941.214328', '10.1016/s0378-7206(98)00058-5', '10.1016/b978-044481862-1.50078-9', '10.1145/328595.328608', '10.1002/(sici)1097-4571(199711)48:11<970::aid-asi2>3.0.co;2-z', '10.1006/ijhc.2001.0483', '10.1006/ijhc.2001.0486', '10.1080/014492900118768', '10.1057/palgrave.ejis.3000486', '10.1007/bf00752449', '10.1023/a:1008600220584', '10.1023/a:1008644224566', '10.1023/a:1008720609782', '10.4018/978-1-878289-77-3.ch007', '10.1016/0959-8022(96)00004-5', '10.1007/bf00402715', '10.2307/249417', '10.2307/249008', '10.1007/978-1-4615-0803-8_4', '10.1007/978-1-4615-0803-8_5', '10.7551/mitpress/7221.001.0001', '10.1016/s0306-4573(01)00030-9', '10.1080/02683960210164336', '10.1108/09593849810246156', '10.1016/s0164-1212(99)00070-9', '10.1016/j.intcom.2004.05.002', '10.1016/0953-5438(92)90005-z', '10.1016/s0377-2217(00)00077-1']"
0,Outsourcing to an Unknown Workforce: Exploring Opensurcing as a Global Sourcing Strategy,,
0,"Reflecting on action in language, organisations and information systems",,"['10.1016/s0305-0483(99)00042-0', '10.1016/0950-5849(95)01059-9', '10.1111/j.1468-2885.2001.tb00231.x', '10.1057/palgrave.ejis.3000486', '10.1023/a:1008600220584', '10.1023/a:1008644224566', '10.1023/a:1008720609782', '10.1016/0306-4379(95)00015-v', '10.2307/25148642', '10.1016/0959-8022(96)00004-5', '10.1287/orsc.9.2.123', '10.7551/mitpress/7221.001.0001', '10.1016/s0306-4573(01)00030-9', '10.1080/02683960210164336', '10.1016/j.intcom.2004.05.002', '10.1016/s0377-2217(00)00077-1']"
0,Artefactual and empirical contributions in information systems research,,"['10.17705/1cais.04401', '10.5465/amr.2009.0486', '10.1007/978-94-010-0161-8_8', '10.5465/amr.1989.4308370', '10.5465/amr.2006.22527385', '10.1111/j.1365-2575.2004.00162.x', '10.1080/0960085x.2020.1721947', '10.1080/0960085x.2019.1557853', '10.1080/0960085x.2018.1527189', '10.1080/0960085x.2018.1451811', '10.1080/0960085x.2018.1458066', '10.1080/0960085x.2018.1458065', '10.1057/ejis.2014.35', '10.1057/ejis.2012.59', '10.1057/ejis.2008.44', '10.1057/palgrave.ejis.3000298', '10.1111/j.1468-2885.2001.tb00231.x', '10.1057/palgrave.ejis.3000488', '10.1177/0268396219832004', '10.1057/jit.2014.8', '10.2307/23043488', '10.2307/25148742', '10.2307/25148625', '10.25300/misq/2013/37.2.01', '10.2307/249407', '10.1016/j.intman.2012.08.004', '10.2307/249403', '10.1287/isre.14.3.221.16560', '10.2307/2393789', '10.1080/00224545.1943.9712269']"
0,"The More, the Merrier? How the Number of Partners in a Standard-Setting Initiative Affects Shareholder's Risk and Return",,
