"citation_key","ENTRYTYPE","author","title","year","type","journal","booktitle","volume","issue","pages","doi"
"AndersonLemken2020","article","Anderson, Marc H. and Lemken, Russell K.","Citation context analysis as a method for conducting rigorous and impactful literature reviews","2023","article","Organizational Research Methods",,"26","1","77--106","10.1177/1094428120969905"
"AndrewBurtonJonesEivorObornPadmanabhan2021","article","Burton-Jones, Andrew and Boh, Wai Fong and Oborn, Eivor and Padmanabhan, Balaji","Editor's Comments: Advancing Research Transparency at MIS Quarterly: A Pluralistic Approach","2021","article","MIS Quarterly",,"45","2","iii--xvii",
"AntonsBreidbachJoshiEtAl2021","article","Antons, David and Breidbach, Christoph F. and Joshi, Amol M. and Salge, Torsten Oliver","Computational literature reviews: Method, algorithms, and roadmap","2023","article","Organizational Research Methods",,"26","1","107--138","10.1177/1094428121991230"
"ArandaSeleEtchanchEtAl2021","article","Aranda, Ana M and Sele, Kathrin and Etchanch, Helen and Guyt, Jonne Y and Vaara, Eero","From Big Data to Rich Theory: Integrating Critical Discourse Analysis with Structural Topic Modeling","2021","article","European Management Review",,"18","3","197--214","10.1111/EMRE.12452"
"ArkseyOMalley2005","article","Arksey, Hilary and O'Malley, Lisa","Scoping studies: towards a methodological framework","2005","article","International Journal of Social Research Methodology",,"8","1","19--32","10.1080/1364557032000119616"
"AtkinsLouw2000","inproceedings","Atkins, Clare and Louw, Gail","Reclaiming Knowledge - A Case for Evidence-Based Information Systems","2000","inproceedings",,"European Conference on Information Systems",,,,
"Aveyard2011","book","Aveyard, Helen","Doing a literature review in Health and Social Care a practical guide","2011","book",,,,,,
"AydinKaraarslanUNKNOWN","inbook","Aydin, Ömer and Karaarslan, Enis","UNKNOWN","2022","inbook",,"Emerging Computer Technologies",,,"22--31",
"AytugRothsteinZhouEtAl2012","article","Aytug, Zeynep G. and Rothstein, Hannah R. and Zhou, Wencang and Kern, Mary C.","Revealed or concealed? Transparency of procedures, decisions, and judgment calls in meta-analyses","2012","article","Organizational Research Methods",,"15","1","103--133","10.1177/1094428111403495"
"Baehning2008","article","Baehning, Dankmar","Editorial – Recent Developments in Capture‐Recapture Methods and Their Applications","2008","article","Biometrical Journal",,"50","6","954--956","10.1002/BIMJ.200810481"
"Baker2000","article","Baker, Michael J.","Writing a literature review","2000","article","The Marketing Review",,"1","2","219--247","10.1362/1469347002529189"
"BandaraFurtmuellerGorbachevaEtAl2015","article","Bandara, Wasana and Furtmueller, Elfi and Gorbacheva, Elena and Miskon, Suraya and Beekhuyzen, Jenine P.","Achieving Rigor in Literature Reviews - Insights from Qualitative Data Analysis and Tool-Support","2015","article","Communications of the Association for Information Systems",,"37",,,"10.17705/1CAIS.03708"
"BandaraMiskonFielt2011","inproceedings","Bandara, Wasana and Miskon, Suraya and Fielt, Erwin","A systematic, tool-supported method for conducting literature reviews in information systems","2011","inproceedings",,"European Conference on Information Systems",,,,
"BandaraSyedUNKNOWN","article","Bandara, Wasana and Syed, Rehan","The role of a protocol in a systematic literature review","2023","article","Journal of Decision Systems",,,,"1--18","10.1080/12460125.2023.2217567"
"BaratClarkBarnEtAl2017","inproceedings","Barat, Souvik and Clark, Tony and Barn, Balbir and Kulkarni, Vinay","A Model-Based Approach to Systematic Review of Research Literature","2017","inproceedings",,"Proceedings of the 10th Innovations in Software Engineering Conference",,,"15--25","10.1145/3021460.3021462"
"BastAurleOrnBuchholdEtAl2013","techreport","Bast, Hannah and Äurle, Florian B and Örn Buchhold, Bj and Haussmann, Elmar","Broccoli: Semantic Full-Text Search at your Fingertips","2013","techreport",,,,,"1--10",
"BastKorzen2013","inproceedings","Bast, Hannah and Korzen, Claudius","The Icecite Research Paper Management System","2013","inproceedings",,"International Conference on Web Information Systems Engineering",,,"396--409","10.1007/978-3-642-41154-0_30"
"BaumeisterLeary1997","article","Baumeister, Roy F and Leary, Mark R","Writing narrative literature reviews","1997","article","Review of General Psychology",,"1","3","311--320","10.1037/1089-2680.1.3.311"
"BellerClarkTsafnatEtAl2018","article","Beller, Elaine and Clark, Justin and Tsafnat, Guy and Adams, Clive and Diehl, Heinz and Lund, Hans and Ouzzani, Mourad and Thayer, Kristina and Thomas, James and Turner, Tari and Xia, Jun and Robinson, Karen and Glasziou, Paul","Making progress with the automation of systematic reviews: principles of the International Collaboration for the Automation of Systematic Reviews (ICASR)","2018","article","Systematic Reviews",,"7","1",,"10.1186/S13643-018-0740-7"
"Bem1995","article","Bem, Daryl J.","Writing a review article for Psychological Bulletin.","1995","article","Psychological Bulletin",,"118","2","172--177","10.1037/0033-2909.118.2.172"
"BerenteSeidelSafadi2019","article","Berente, Nicholas and Seidel, Stefan and Safadi, Hani","Research Commentary - Data-Driven Computationally Intensive Theory Development","2019","article","Information Systems Research",,"30","1","50--64","10.1287/ISRE.2018.0774"
"BlancColletAuerEtAl2015","article","Blanc, Xavier and Collet, Tinh-Hai and Auer, Reto and Iriarte, Pablo and Krause, Jan and Légaré, France and Cornuz, Jacques and Clair, Carole","Retrieval of Publications Addressing Shared Decision Making: An Evaluation of Full-Text Searches on Medical Journal Websites","2015","article","JMIR Research Protocols",,"4","2","1--7","10.2196/RESPROT.3615"
"BlumbergCooperSchindler2011","book","Blumberg, Boris and Cooper, Donald R and Schindler, Pamela S.","Business research methods","2011","book",,,,,,
"BoekerVachMotschall2013","article","Boeker, M. and Vach, W. and Motschall, E.","Google Scholar as replacement for systematic literature searches: good relative recall and precision are not enough","2013","article","BMC Medical Research Methodology",,"13","1","1--12","10.1186/1471-2288-13-131"
"BoellCecezKecmanovic2014","article","Boell, Sebastian K. and Cecez-Kecmanovic, Dubravka","A Hermeneutic Approach for Conducting Literature Reviews and Literature Searches","2014","article","Communications of the Association for Information Systems",,"34",,"257--286","10.17705/1CAIS.03412"
"BoellCecezKecmanovic2015","article","Boell, Sebastian K. and Cecez-Kecmanovic, Dubravka","On being 'systematic' in literature reviews in IS","2015","article","Journal of Information Technology",,"30","2","161--173","10.1057/JIT.2014.26"
"BoellCecezKecmanovic2015a","article","Boell, Sebastian K. and Cecez-Kecmanovic, Dubravka","Debating systematic literature reviews (SLR) and their ramifications for IS - a rejoinder to Mike Chiasson, Briony Oates, Ulrike Schultze, and Richard Watson","2015","article","Journal of Information Technology",,"30","2","188--193","10.1057/JIT.2015.15"
"BoellWang2021","inproceedings","Boell, S. and Wang, Blair","www.litbaskets.io, an IT artifact supporting exploratory literature searches for Information Systems Research","2021","inproceedings",,"Australatian Conference on Information Systems",,,,
"BooteBeile2005","article","Boote, David N and Beile, Penny","Scholars before researchers: On the centrality of the dissertation literature review in research preparation","2005","article","Educational Researcher",,"34","6","3--15","10.3102/0013189X034006003"
"Booth2006","article","Booth, Andrew","The number needed to retrieve: a practically useful measure of information retrieval?","2006","article","Health Information & Libraries Journal",,"23","3","229--232","10.1111/J.1471-1842.2006.00663.X"
"Booth2008","article","Booth, Andrew","Unpacking your literature search toolbox: on search styles and tactics","2008","article","Health Information & Libraries Journal",,"25","4","313--317","10.1111/J.1471-1842.2008.00825.X"
"Booth2010","article","Booth, Andrew","How much searching is enough? Comprehensive versus optimal retrieval for technology assessments","2010","article","International Journal of Technology Assessment in Health Care",,"4","4","431--435","10.1017/S0266462310000966"
"BoothPapaioannouSutton2012","book","Booth, A. and Papaioannou, D. and Sutton, A.","Systematic approaches to a successful literature review","2012","book",,,,,,
"BorahBrownCapersEtAl2017","article","Borah, Rohit and Brown, Andrew W and Capers, Patrice L and Kaiser, Kathryn A","Analysis of the time and workers needed to conduct systematic reviews of medical interventions using data from the PROSPERO registry","2017","article","BMJ Open",,"7","2","e012545","10.1136/BMJOPEN-2016-012545"
"BoscoFieldLarsenEtAl2020","article","Bosco, Frank A and Field, James G and Larsen, Kai R and Chang, Yingyi and Uggerslev, Krista L","Advancing meta-analysis with knowledge-management platforms: Using metaBUS in Psychology","2020","article","Advances in Methods and Practices in Psychological Science",,"3","1","124--137","10.1177/2515245919882693"
"BowesHallBeecham2012","inproceedings","Bowes, David and Hall, T. and Beecham, Sarah","SLuRp: a tool to help large complex systematic literature reviews deliver valid and rigorous results","2012","inproceedings",,"Proceedings of the 2nd international workshop on Evidential assessment of software technologies",,,,"10.1145/2372233.2372243"
"BozadaBordenWorkmanEtAl2021","article","Bozada, Thomas and Borden, James and Workman, Jeffrey and Del Cid, Mardo and Malinowski, Jennifer and Luechtefeld, Thomas","Sysrev: A FAIR Platform for Data Curation and Systematic Evidence Review","2021","article","Frontiers in Artificial Intelligence",,"4",,"685298","10.3389/FRAI.2021.685298"
"BramerDeJongeRethlefsenEtAl2018","article","Bramer, Wichor M and De Jonge, Gerdien B and Rethlefsen, Melissa L and Mast, Frans and Kleijnen, Jos","A systematic approach to searching: an efficient and complete method to develop literature searches","2018","article","Journal of the Medical Library Association",,"106","4","531--541","10.5195/JMLA.2018.283"
"BramerGiustiniDeJongeEtAl2016","article","Bramer, Wichor M and Giustini, Dean and De Jonge, Gerdien B and Holland, Leslie and Bekhuis, Tanja","De-duplication of database search results for systematic reviews in EndNote","2016","article","Journal of the Medical Library Association : JMLA",,"104","3","240--243","10.3163/1536-5050.104.3.014"
"BrasseyPriceEdwardsEtAl2021","article","Brassey, Jon and Price, Christopher and Edwards, Jonny and Zlabinger, Markus and Bampoulidis, Alexandros and Hanbury, Allan","Developing a fully automated evidence synthesis tool for identifying, assessing and collating the evidence","2021","article","BMJ Evidence-Based Medicine",,"26","1","24--27","10.1136/BMJEBM-2018-111126"
"BrendelTrangMarroneEtAl2020","inproceedings","Brendel, Alfred Benedikt and Trang, Simon and Marrone, Mauricio and Lichtenberg, Sascha and Kolbe, Lutz M.","What to do for a Literature Review? - A Synthesis of Literature Review Practices","2020","inproceedings",,"Americas Conference on Information Systems",,,,
"BreslinBailey2020","article","Breslin, Dermot and Bailey, Katie","Expanding the conversation through ‘Debate Essays’ and ‘Review Methodology’ papers","2020","article","International Journal of Management Reviews",,"22","3","219--221","10.1111/IJMR.12234"
"BreslinGatrell2020","article","Breslin, Dermot and Gatrell, Caroline","Theorizing through literature reviews: The miner-prospector continuum","2020","article","Organizational Research Methods",,"26","1",,"10.1177/1094428120943288"
"BreslinGatrellBailey2020","article","Breslin, Dermot and Gatrell, Caroline and Bailey, Katie","Developing insights through reviews: Reflecting on the 20th anniversary of the International Journal of Management Reviews","2020","article","International Journal of Management Reviews",,"22","1","3--9","10.1111/IJMR.12219"
"BrinerDenyer2012","inbook","Briner, Bob B and Denyer, David","The Oxford Handbook of Evidence-based Management","2012","inbook",,,,,,"10.1093/OXFORDHB/9780199763986.013.000"
"BrockeSimonsRiemerEtAl2015","article","vom Brocke, Jan and Simons, Alexander and Riemer, Kai and Niehaves, Björn and Plattfaut, Ralf and Cleven, Anne","Standing on the Shoulders of Giants - Challenges and Recommendations of Literature Search in Information Systems Research","2015","article","Communications of the Association for Information Systems",,"37",,"205--224","10.17705/1CAIS.03709"
"BurgardBittermannBittermann2023","article","Burgard, Tanja and Bittermann, Andr É and Bittermann, Andr É","Reducing Literature Screening Workload With Machine Learning","2023","article","Zeitschrift für Psychologie",,"231","1","3--15","10.1027/2151-2604/A000509"
"ButlerHallCopnell2016","article","Butler, Ashleigh and Hall, Helen and Copnell, Beverley","A guide to writing a qualitative systematic review protocol to enhance evidence-based practice in Nursing and Health Care","2016","article","Worldviews on Evidence-Based Nursing",,"13","3","241--249","10.1111/WVN.12134"
"CadwellSmithBaughman2003","inproceedings","Cadwell, Betsy L and Smith, Philip J and Baughman, Andrew L","Methods for capture-recapture analysis when cases may not be identified uniquely","2003","inproceedings",,"2003 FCSM Research Conference",,,"1--5",
"Callahan2014","article","Callahan, Jamie L.","Writing literature reviews","2014","article","Human Resource Development Review",,"13","3","271--275","10.1177/1534484314536705"
"CarverHasslerHernandesEtAl2013","inproceedings","Carver, Jeffrey C. and Hassler, Edgar and Hernandes, Elis and Kraft, Nicholas A.","Identifying barriers to the systematic literature review process","2013","inproceedings",,"International Symposium on Empirical Software Engineering and Measurement",,,,"10.1109/ESEM.2013.28"
"CassellBishop2019","article","Cassell, Catherine and Bishop, Vicky","Qualitative Data Analysis: Exploring Themes, Metaphors and Stories","2019","article","European Management Review",,"16","1","195--207","10.1111/EMRE.12176"
"ChalmersHedgesCooper2002","article","Chalmers, Iain and Hedges, Larry V and Cooper, Harris","A brief history of research synthesis","2002","article","Evaluation & the Health Professions",,"25","1","12--37","10.1177/0163278702025001003"
"ChapmanBrothers2006","article","Chapman, Karen and Brothers, Paul","Database coverage for research in management information systems","2006","article","College & Research Libraries",,"67","1","50--62","10.5860/CRL.67.1.50"
"ChenLarsen2021","misc","Chen, Victor Zitian and Larsen, Kai R","Knowledge Synthesis (KS): Intention statement for a new interest group at AOM","2021","misc",,,,,,
"ChengAugustinBethelEtAl2018","article","Cheng, SH and Augustin, C and Bethel, A and Gill, D and Anzaroot, S and Brun, J and DeWilde, B and Minnich, RC and Garside, R and Masuda, YJ and Miller, D.C. and Wilkie, D. and Wongbusarakum, S. and McKinnon, M.C.","Using machine learning to advance synthesis and use of conservation and environmental evidence","2018","article","Conservation Biology",,"32","4","762--764","10.1111/COBI.13117"
"Chiasson2015","article","Chiasson, Mike W.","Avoiding methodological overdose - a declaration for independent ends","2015","article","Journal of Information Technology",,"30","2","174--176","10.1057/JIT.2015.11"
"ChoongGalganiDunnEtAl2014","article","Choong, Miew Keen and Galgani, Filippo and Dunn, Adam G and Tsafnat, Guy","Automatic evidence retrieval for systematic reviews","2014","article","Journal of Medical Internet Research",,"16","10","e223","10.2196/JMIR.3369"
"ChoudhuryAllenEndres2021","article","Choudhury, Prithwiraj and Allen, Ryan T and Endres, Michael G","Machine learning for pattern discovery in management research","2021","article","Strategic Management Journal",,"42","1","30--57","10.1002/SMJ.3215"
"CiercoJimenezLeeRosilloEtAl2022","article","Cierco Jimenez, Ramon and Lee, Teresa and Rosillo, Nicolás and Cordova, Reynalda and Cree, Ian A and Gonzalez, Angel and Iciar, Blanca and Ruiz, Indave","Machine learning computational tools to assist the performance of systematic reviews: A mapping review","2022","article","BMC Medical Research Methodology",,"22","1","1--14","10.1186/S12874-022-01805-4"
"CiercoJimenezLeeRosilloEtAl2022a","article","Jimenez, Cierco and Cierco Jimenez, Ramon and Lee, Teresa and Rosillo, Nicolás and Cordova, Reynalda and Cree, Ian A and Gonzalez, Angel and Iciar, Blanca and Ruiz, Indave","Machine learning computational tools to assist the performance of systematic reviews: A mapping review","2022","article","BMC Medical Research Methodology",,"22",,,"10.1186/S12874-022-01805-4"
"ClarkGlasziouDelMarEtAl2020","article","Clark, Justin and Glasziou, Paul and Del Mar, Chris and Bannach-Brown, Alexandra and Stehlik, Paulina and Scott, Anna Mae","A full systematic review was completed in 2 weeks using automation tools: a case study","2020","article","Journal of Clinical Epidemiology",,"121",,"81--90","10.1016/J.JCLINEPI.2020.01.008"
"ClarkKeyMartin2021","article","Clark, Terry and Key, Thomas Martin and Martin, Thomas","The methodologies of the marketing literature: mechanics, uses and craft","2021","article","AMS Review",,"11","3-4","416--431","10.1007/S13162-021-00210-2"
"ClarkMcfarlaneCleoEtAl2021","article","Clark, Justin and Mcfarlane, Catherine and Cleo, Gina and Ramos, Christiane Ishikawa and Marshall, Skye and Fo, Xsl","The Impact of Systematic Review Automation Tools on Methodological Quality and Time Taken to Complete Systematic Review Tasks: Case Study","2021","article","JMIR Medical Education",,"7","2","e24418","10.2196/24418"
"CohenHershPetersonEtAl2006","article","Cohen, A. M. and Hersh, W. R. and Peterson, K. and Yen, P.-Y.","Reducing Workload in Systematic Review Preparation Using Automated Citation Classification","2006","article","Journal of the American Medical Informatics Association",,"13","2","206--219","10.1197/JAMIA.M1929"
"CohnBecker2003","article","Cohn, Lawrence D. and Becker, Betsy J.","How meta-analysis increases statistical power.","2003","article","Psychological Methods",,"8","3","243--253","10.1037/1082-989X.8.3.243"
"CookeSmithBooth2012","article","Cooke, Alison and Smith, Debbie and Booth, Andrew","Beyond PICO","2012","article","Qualitative Health Research",,"22","10","1435--1443","10.1177/1049732312452938"
"Cooper1988","article","Cooper, H.","Organizing knowledge syntheses: A taxonomy of literature reviews","1988","article","Knowledge in Society",,"1","1","104--126","10.1007/BF03177550"
"Cooper1998","book","Cooper, Harris","Synthesizing research: a guide for literature reviews","1998","book",,,"2",,,
"CooperHedges2009","inbook","Cooper, Harris and Hedges, Larry V","The Handbook of Research Synthesis and Meta-Analysis","2009","inbook",,,,,"3--16",
"CooperHedgesValentine2009","book","Cooper, Harris and Hedges, Larry V. and Valentine, Jeffrey C.","The Handbook of Research Syntehsis and Meta-Analysis","2009","book",,,,,,
"CormackGrossman2016","inproceedings","Cormack, Gordon V. and Grossman, Maura R.","Engineering Quality and Reliability in Technology-Assisted Review","2016","inproceedings",,"Proceedings of the 39th International ACM SIGIR conference on Research and Development in Information Retrieval",,,"75--84","10.1145/2911451.2911510"
"Cram2019","inproceedings","Cram, W. Alec","(Re)considering the Concept of Reproducibility of Information Systems Literature Reviews","2019","inproceedings",,"Americas Conference on Information Systems",,,,
"CramTemplierPare2020","article","Cram, W. Alec and Templier, Mathieu and Paré, Guy","(Re)considering the Concept of Literature Review Reproducibility","2020","article","Journal of the Association for Information Systems",,"21","5","1103--1114","10.17705/1JAIS.00630"
"CroninGeorge2020","article","Cronin, Matthew A. and George, Elizabeth","The why and how of the integrative review","2020","article","Organizational Research Methods",,"26","1","168--192","10.1177/1094428120935507"
"CroninRyanCoughlanEtAl2008","article","Cronin, Patricia and Ryan, Frances and Coughlan, Michael","Undertaking a literature review: a step-by-step approach","2008","article","British Journal of Nursing",,"17","1","38--43","10.12968/BJON.2008.17.1.28059"
"Cropanzano2009","article","Cropanzano, Russell","Writing nonempirical articles for Journal of Management: General thoughts and suggestions","2009","article","Journal of Management",,"35","6","1304--1311","10.1177/0149206309344118"
"DaudtvanMosselScott2013","article","Daudt, H. and van Mossel, C. and Scott, S. J.","Enhancing the scoping study methodology: a large, inter-professional team’s experience with Arksey and O’Malley’s framework","2013","article","BMC Medical Research Methodology",,"13","1","1--9","10.1186/1471-2288-13-48"
"Davies2000","article","Davies, Philip","The relevance of systematic reviews to educational policy and practice","2000","article","Oxford Review of Education",,"26","3&4","365--378","10.1080/3054980020001882"
"DeSimoneBrannickOBoyleEtAl2021","article","DeSimone, Justin A. and Brannick, Michael T. and O’Boyle, Ernest H. and Ryu, Ji Woon","Recommendations for reviewing meta-analyses in organizational research","2021","article","Organizational Research Methods",,"24","4","694--717","10.1177/1094428120967089"
"DenyerTranfield2006","article","Denyer, David and Tranfield, David","Using qualitative research synthesis to build an actionable knowledge base","2006","article","Management Decision",,"44","2","213--227","10.1108/00251740610650201"
"DenzlerEndersAkello2021","inproceedings","Denzler, Tim and Enders, Martin Robert and Akello, Patricia","Towards a Semi-Automated Approach for Systematic Literature Reviews","2021","inproceedings",,"Americas Conference on Information Systems",,,,
"DevinneyTang2013","inbook","Devinney, Timothy M. and Tang, Ryan W.","UNKNOWN","2013","inbook",,"Philosophy of Science and Meta-Knowledge in International Business and Management","26",,"239--262","10.1108/S1571-5027(2013)0000026015"
"DixonWoodsBonasBoothEtAl2006","article","Dixon-Woods, Mary and Bonas, Sheila and Booth, Andrew and Jones, David R. and Miller, Tina and Sutton, Alex J. and Shaw, Rachel L. and Smith, Jonathan A. and Young, Bridget","How can systematic reviews incorporate qualitative research? A critical perspective","2006","article","Qualitative Research",,"6","1","27--44","10.1177/1468794106058867"
"DobrkovicDoppnerIacobEtAl2018","inproceedings","Dobrkovic, Andrej and Döppner, Daniel A. and Iacob, Maria-Eugenia and van Hillegersberg, Jos","Collaborative literature search system: An intelligence amplification method for systematic literature search","2018","inproceedings",,"International Conference on Design Science Research in Information Systems and Technology",,,"169--183","10.1007/978-3-319-91800-6_12"
"DoustPietrzakSandersEtAl2004","article","Doust, J. A and Pietrzak, E. and Sanders, S. and Glasziou, P. P","Identifying studies for systematic reviews of diagnostic tests was difficult due to the poor sensitivity and precision of methodologic filters and the lack of information in the abstract","2004","article","Journal of Clinical Epidemiology",,"58","5","444--449","10.1016/J.JCLINEPI.2004.09.011"
"EasterCeulemansKelly2021","article","Easter, Sarah and Ceulemans, Kim and Kelly, Dara","Bridging Research-Practice Tensions: Exploring Day-to-Day Engaged Scholarship Investigating Sustainable Development Challenges","2021","article","European Management Review",,"18","2","9--23","10.1111/EMRE.12443"
